[ÉTAPE 4/4] Génération du rapport QAQC...
2026-06-25 00:21:02,767 | INFO     | qaqc | Rapport QAQC sauvegardé : C:\Users\User\Desktop\Ecole\AS3\Projet Traitement donnees\Insalubrite_traitement_donnees\output\QAQC_rapport.xlsx
2026-06-25 00:21:02,767 | INFO     | pipeline |   → QAQC : C:\Users\User\Desktop\Ecole\AS3\Projet Traitement donnees\Insalubrite_traitement_donnees\output\QAQC_rapport.xlsx
2026-06-25 00:21:02,767 | INFO     | pipeline | 
=================================================================
2026-06-25 00:21:02,767 | INFO     | pipeline |   PIPELINE TERMINÉ AVEC SUCCÈS
2026-06-25 00:21:02,767 | INFO     | pipeline |   Durée : 1.2s
2026-06-25 00:21:02,767 | INFO     | pipeline |   Ménages traités   : 2474
2026-06-25 00:21:02,767 | INFO     | pipeline |   Variables output  : 91
2026-06-25 00:21:02,767 | INFO     | pipeline |   Anomalies QC      : 10
2026-06-25 00:21:02,767 | INFO     | pipeline |   Fichiers produits : C:\Users\User\Desktop\Ecole\AS3\Projet Traitement donnees\Insalubrite_traitement_donnees\output\dataset_dechets.csv
2026-06-25 00:21:02,768 | INFO     | pipeline |                       C:\Users\User\Desktop\Ecole\AS3\Projet Traitement donnees\Insalubrite_traitement_donnees\output\dataset_dechets.dta
2026-06-25 00:21:02,768 | INFO     | pipeline |                       C:\Users\User\Desktop\Ecole\AS3\Projet Traitement donnees\Insalubrite_traitement_donnees\output\QAQC_rapport.xlsx
2026-06-25 00:21:02,768 | INFO     | pipeline | =================================================================
